172.28.8.2 172.27.11.201 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--24018 HTTP/1.1" 200 4 15684us 15ms 0s
172.28.8.2 172.27.10.119 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--21229 HTTP/1.1" 200 4 32652us 32ms 0s
172.28.8.2 172.27.0.5 - - [25/Apr/2025:00:00:04 -0400] "POST /SOMebkOnline.APIS//paramConfig HTTP/1.1" 200 127 126517us 126ms 0s
172.28.8.2 172.27.7.194 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--18085 HTTP/1.1" 200 4 15787us 15ms 0s
172.28.8.2 172.27.10.162 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--20121 HTTP/1.1" 200 4 31108us 31ms 0s
172.28.8.2 172.27.2.85 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05264 HTTP/1.1" 200 4 15606us 15ms 0s
172.28.8.2 172.27.5.113 - - [25/Apr/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VM1-RICSTR--08668 HTTP/1.1" 200 4 31173us 31ms 0s
172.28.8.2 172.27.3.52 - - [25/Apr/2025:00:00:05 -0400] "GET /SOMebkOnline.APIS//isalive HTTP/1.1" 200 - 15653us 15ms 0s
172.28.8.2 172.27.10.64 - - [25/Apr/2025:00:00:05 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--19072 HTTP/1.1" 200 4 15653us 15ms 0s
172.28.8.2 172.27.8.200 - - [25/Apr/2025:00:00:05 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--21315 HTTP/1.1" 200 4 15540us 15ms 0s
172.28.8.2 172.27.1.167 - - [25/Apr/2025:00:00:05 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05528 HTTP/1.1" 200 4 31194us 31ms 0s
